Matthew 5:1,"And seeing the multitudes, he went up into a mountain: and when he was set, his disciples came unto him:"
Matthew 5:2,"And he opened his mouth, and taught them, saying,"
Matthew 5:3,"Blessed are the poor in spirit: for theirs is the kingdom of heaven."
Matthew 5:4,"Blessed are they that mourn: for they shall be comforted."
Matthew 5:5,"Blessed are the meek: for they shall inherit the earth."
Matthew 5:6,"Blessed are they which do hunger and thirst after righteousness: for they shall be filled."
Matthew 5:7,"Blessed are the merciful: for they shall obtain mercy."
Matthew 5:8,"Blessed are the pure in heart: for they shall see God."
Matthew 5:9,"Blessed are the peacemakers: for they shall be called the children of God."
Matthew 5:10,"Blessed are they which are persecuted for righteousness’ sake: for theirs is the kingdom of heaven."
Matthew 5:11,"Blessed are ye, when men shall revile you, and persecute you, and shall say all manner of evil against you falsely, for my sake."
Matthew 5:12,"Rejoice, and be exceeding glad: for great is your reward in heaven: for so persecuted they the prophets which were before you."
Matthew 5:13,"¶ Ye are the salt of the earth: but if the salt have lost his savour, wherewith shall it be salted? it is thenceforth good for nothing, but to be cast out, and to be trodden under foot of men."
Matthew 5:14,"Ye are the light of the world. A city that is set on an hill cannot be hid."
Matthew 5:15,"Neither do men light a candle, and put it under a bushel, but on a candlestick; and it giveth light unto all that are in the house."
Matthew 5:16,"Let your light so shine before men, that they may see your good works, and glorify your Father which is in heaven."
Matthew 5:17,"¶ Think not that I am come to destroy the law, or the prophets: I am not come to destroy, but to fulfil."
Matthew 5:18,"For verily I say unto you, Till heaven and earth pass, one jot or one tittle shall in no wise pass from the law, till all be fulfilled."
Matthew 5:19,"Whosoever therefore shall break one of these least commandments, and shall teach men so, he shall be called the least in the kingdom of heaven: but whosoever shall do and teach them, the same shall be called great in the kingdom of heaven."
Matthew 5:20,"For I say unto you, That except your righteousness shall exceed the righteousness of the scribes and Pharisees, ye shall in no case enter into the kingdom of heaven."
Matthew 5:21,"¶ Ye have heard that it was said by them of old time, Thou shalt not kill; and whosoever shall kill shall be in danger of the judgment:"
Matthew 5:22,"But I say unto you, That whosoever is angry with his brother without a cause shall be in danger of the judgment: and whosoever shall say to his brother, Raca, shall be in danger of the council: but whosoever shall say, Thou fool, shall be in danger of hell fire."
Matthew 5:23,"Therefore if thou bring thy gift to the altar, and there rememberest that thy brother hath ought against thee;"
Matthew 5:24,"Leave there thy gift before the altar, and go thy way; first be reconciled to thy brother, and then come and offer thy gift."
Matthew 5:25,"Agree with thine adversary quickly, whiles thou art in the way with him; lest at any time the adversary deliver thee to the judge, and the judge deliver thee to the officer, and thou be cast into prison."
